Team,Rating,PPG,OPPG,TO/Game,3 Pt. %,FT %,Steals/Game,OREB/Game,O Kill Shot?,D Kill Shot?,D Kill Shot (BAD),SOS,Pace of Play,NET Ranking,Normalized Pace,Normalized NET,New Rating,,"Top ""Kill-Shots"" (Account for its interaction with opponent)",,Kill Shots Allowed (Least),,Kill Shots Allowed (Most),,,,,,,
Belmont,18.58,77.9,76.6,11.7,0.373,0.732,7.4,6.6,0,0,0,113,71.5,117,0.734,0.322,18.58,,,,,,,,,,,Richmond,70,22-7
George Washington,16.07,77.9,78.5,12.2,0.351,0.747,6.1,8.1,0,0,0,146,71,207,0.699,0.572,16.07,,,,,,,,,,,Washington,71,16-14
FDU,16.90,77.8,78.2,12.4,0.338,0.701,8.5,10,0,0,0,#N/A,73.2,321,0.853,0.889,#N/A,,,,,,,,,,,Memphis,72,22-8
Utah,18.19,77.6,73.2,11.5,0.35,0.646,6,9.3,1,0,0,37,71,46,0.699,0.125,18.19,,,,,,,,,,,Maryland,73,15-15
Little Rock,17.66,77.5,73.8,11.7,0.335,0.741,5.8,9.8,0,0,0,362,70,188,0.629,0.519,17.66,,,,,,,,,,,UC Irvine,74,22-8
Columbia,21.99,77.4,70.4,11.5,0.38,0.744,7.9,8.1,0,0,0,213,69.1,213,0.566,0.589,21.99,,,,,,,,,,,South Florida,75,23-5
South Dakota State,18.68,77.4,72.2,11.4,0.356,0.702,6.4,7.7,1,0,0,308,68.6,154,0.531,0.425,18.68,,,,,,,,,,,Minnesota,76,18-11
Butler,25.33,77.3,74.3,10.6,0.357,0.787,6.2,7.7,0,0,0,7,68.8,66,0.545,0.181,23.62,,,,,,,,,,,UNLV,77,19-10
North FloridA,18.20,77.3,75.6,10.9,0.355,0.765,5.7,8,0,0,0,288,68.7,249,0.538,0.689,18.20,,,,,,,,,,,Kansas State,78,17-13
UC San Diego,#N/A,77.2,#N/A,8.9,0.352,0.76,6.4,7.9,1,0,0,252,66.5,111,0.385,0.306,#N/A,,,,,,,,,,,Ole Miss,79,20-10
Iowa St.,27.96,77.1,62.3,10.5,0.354,0.693,10.5,9.9,1,0,0,35,69,8,0.559,0.019,31.96,,,,,,,,,,,Samford,80,26-5
SMU,23.26,77.1,66.7,11.1,0.343,0.681,8.6,12.4,0,1,0,119,68.2,50,0.503,0.136,23.26,,,,,,,,,,,VCU,81,19-11
Nebraska,21.55,77.1,69.8,11,0.361,0.76,6.4,8.6,0,0,0,71,68.7,43,0.538,0.117,21.55,,,,,,,,,,,Yale,82,20-8
Montana,20.54,77,72,9.4,0.35,0.794,4.8,7.6,0,0,0,230,66.1,140,0.357,0.386,20.54,,,,,,,,,,,NC State,83,17-13
Stetson,20.68,77,71.6,10.2,0.366,0.768,5.4,8.6,0,0,0,225,66.7,208,0.399,0.575,20.68,,,,,,,,,,,Syracuse,84,20-11
Fairfield,22.67,76.9,71.4,10.9,0.383,0.76,8.3,8.6,0,0,0,341,69.4,163,0.587,0.450,22.67,,,,,,,,,,,Umass,85,19-10
Saint Johns,22.96,76.9,70.8,11,0.328,0.717,7,13.3,0,0,0,15,69.8,34,0.615,0.092,26.96,,,,,,,,,,,Louisiana Tech,86,21-8
Stanford,16.08,76.8,76.9,12.5,0.381,0.752,5.1,6.5,0,0,0,76,71,119,0.699,0.328,16.08,,,,,,,,,,,North Texas,87,16-12
UC Irvine,21.84,76.8,67.4,11.2,0.352,0.761,6.6,9,0,0,0,174,69.8,74,0.615,0.203,21.84,,,,,,,,,,,LSU,88,16-13
Miami (FL),20.16,76.8,73.3,11.9,0.371,0.754,7.2,8.2,1,0,1,49,70.3,89,0.650,0.244,20.16,,,,,,,,,,,Miami (FL),89,15-14
Colorado State,22.97,76.8,68.1,10,0.349,0.766,6.8,6.3,0,0,0,48,66.9,36,0.413,0.097,26.97,,,,,,,,,,,Rutgers,90,15-14
Santa Clara,17.23,76.7,72.1,12.5,0.358,0.709,4.9,10.9,0,0,0,96,69.1,105,0.566,0.289,17.23,,,,,,,,,,,Loyola-Chicago,91,21-8
Western Carolina,20.69,76.7,68.5,9.7,0.36,0.713,4.5,9.3,0,0,0,260,68.1,106,0.497,0.292,20.69,,,,,,,,,,,Duquesne,92,19-11
Minnesota,19.30,76.7,71,11.3,0.366,0.688,6,8.6,0,0,0,80,68.1,76,0.497,0.208,19.30,,,,,,,,,,,Cornell,93,21-6
Kansas,60.58,76.6,67.9,11.4,0.342,0.72,7.5,7.2,0,0,0,1,69.6,16,0.601,0.042,30.58,,,,,,,,,,,Penn State,94,14-16
Syracuse,20.59,76.6,74.9,10.8,0.333,0.726,9.3,7.6,0,0,0,46,71.9,84,0.762,0.231,20.59,,,,,,,,,,,Florida State,95,15-15
Nevada,23.11,76.5,66.6,9.4,0.356,0.714,6.3,8.4,0,0,0,91,67.4,32,0.448,0.086,27.11,,,,,,,,,,,Saint Joseph's,96,18-11
UNCG,22.92,76.5,69.8,10.2,0.402,0.735,6.8,8.7,0,0,0,227,66,,0.350,-0.003,22.92,,,,,,,,,,,USC,97,17-Dec
Saint Josephs,#N/A,76.5,71.3,10.8,0.364,0.729,7,8.9,0,0,0,#N/A,69,96,0.559,0.264,#N/A,,,,,,,,,,,Vermont,98,25-6
North Carolina Central,#N/A,76.5,#N/A,11.5,0.333,0.694,8,9.5,0,0,0,#N/A,67.4,,0.448,-0.003,#N/A,,,,,,,,,,,George Mason,99,18-11
South Dakota,13.25,76.5,78.8,13,0.369,0.743,3.7,9.4,0,0,0,349,69.9,320,0.622,0.886,13.25,,,,,,,,,,,Boston College,100,15-14
LSU,18.90,76.5,74.5,12.8,0.36,0.719,8.1,8.9,0,0,0,38,70.4,88,0.657,0.242,18.90,,,,,,,,,,,Indiana,101,16-13
Florida State,18.56,76.5,75.1,11.9,0.319,0.694,9.3,9.1,0,0,0,61,72.5,95,0.804,0.261,18.56,,,,,,,,,,,Georgia,102,16-14
North Alabama,18.25,76.4,76,10.1,0.354,0.762,5.3,8.7,0,0,0,251,68.8,253,0.545,0.700,18.25,,,,,,,,,,,Charleston,103,24-7
Oakland,19.49,76.4,73.2,11,0.35,0.751,6.6,9.5,0,0,0,150,68.4,137,0.517,0.378,19.49,,,,,,,,,,,Akron,104,21-9
Georgia State,19.40,76.3,74.3,9.1,0.318,0.767,5.8,9,0,0,0,190,70.2,209,0.643,0.578,19.40,,,,,,,,,,,Santa Clara,105,19-12
UAB,17.41,76.3,74.9,11.7,0.311,0.752,6.6,11.4,0,0,0,106,68.5,127,0.524,0.350,17.41,,,,,,,,,,,Western Carolina,106,22-9
NC State,22.00,76.2,72.1,9.4,0.341,0.729,7.6,9.7,0,0,0,69,69.1,83,0.566,0.228,22.00,,,,,,,,,,,High Point,107,24-7
Louisiana,20.44,76.2,71.6,11.5,0.345,0.731,8.3,9.8,0,0,0,218,70.1,138,0.636,0.381,20.44,,,,,,,,,,,Davidson,108,15-14
Cleveland State,20.31,76,73.5,9.9,0.337,0.671,8.2,11.6,0,0,0,263,68.6,206,0.531,0.569,20.31,,,,,,,,,,,UNI,109,18-13
Oregon,20.88,76,71.5,10.1,0.355,0.713,7,8.6,0,0,0,78,69.1,64,0.566,0.175,20.88,,,,,,,,,,,Charlotte,110,17-11
Arkansas,15.72,75.9,77.9,11,0.32,0.733,5.8,7.5,0,0,0,51,72.2,120,0.783,0.331,15.72,,,,,,,,,,,UC San Diego,111,20-10
Boise State,21.75,75.9,66.2,10.8,0.349,0.735,5.8,9.7,0,1,0,67,66.4,27,0.378,0.072,25.75,,,,,,,,,,,Hofstra,112,19-12
North Dakota St.,17.81,75.9,74,10.4,0.378,0.718,4.6,7.5,0,0,0,247,65.9,258,0.343,0.714,17.81,,,,,,,,,,,Southern Illinois,113,19-12
Kent State,19.83,75.9,71.7,11.8,0.361,0.76,7.1,9.4,0,0,0,245,68.1,175,0.497,0.483,19.83,,,,,,,,,,,UNCW,114,21-9
Xavier,23.38,75.8,73.2,11.1,0.345,0.734,7,10.2,0,0,1,9,71.2,61,0.713,0.167,23.38,,,,,,,,,,,UCLA,115,14-15
Southern Utah,17.92,75.8,70,11.6,0.297,0.735,6.4,9.2,0,0,0,131,71.3,240,0.720,0.664,17.92,,,,,,,,,,,Morehead State,116,23-8
Penn State,20.41,75.8,74.5,10.4,0.331,0.736,8.7,8.3,0,0,0,57,70.3,94,0.650,0.258,20.41,,,,,,,,,,,Belmont,117,19-12
Georgia,17.78,75.8,74.6,11.3,0.341,0.736,6.4,8,0,0,0,66,70.4,102,0.657,0.281,17.78,,,,,,,,,,,California,118,13-17
Morehead State,21.79,75.7,63,11.6,0.355,0.719,5.7,10.8,0,0,0,254,65.3,116,0.301,0.319,21.79,,,,,,,,,,,Stanford,119,17-Dec
Texas Tech,22.02,75.7,69.4,10.4,0.362,0.775,5.9,8.7,0,0,1,42,67.3,35,0.441,0.094,26.02,,,,,,,,,,,Arkansas,120,14-15
Texas A&M-CC,20.94,75.7,66.6,11.7,0.305,0.697,8.5,12,0,0,0,207,68.4,174,0.517,0.481,20.94,,,,,,,,,,,Oklahoma State,121,18-Dec
Boston College,19.65,75.7,73.5,10.4,0.364,0.752,6.2,7.6,0,0,0,82,68.6,100,0.531,0.275,19.65,,,,,,,,,,,Drexel,122,20-11
CSUN,#N/A,75.6,73.1,14,0.31,0.677,7.8,10.5,0,0,0,#N/A,,226,-4.266,0.625,#N/A,,,,,,,,,,,Seattle,123,18-11
Ole Miss,21.91,75.6,73.3,10.2,0.377,0.743,8,8.6,0,0,0,65,68.7,79,0.538,0.217,21.91,,,,,,,,,,,Georgia Tech,124,14-16
Longwood,19.38,75.6,68.1,12.2,0.334,0.673,7.2,12.9,0,0,0,309,68.5,177,0.524,0.489,19.38,,,,,,,,,,,Arizona State,125,14-15
Texas,22.96,75.5,68.6,11.5,0.363,0.745,6.9,8.8,1,0,0,17,68,28,0.490,0.075,26.96,,,,,,,,,,,Youngstown State,126,22-9
Howard,14.41,75.5,75.5,14.8,0.368,0.742,6.3,9.4,0,0,0,324,69.5,276,0.594,0.764,14.41,,,,,,,,,,,UAB,127,18-11
UTA,15.34,75.5,73.2,15.3,0.347,0.73,7.3,10.9,0,0,0,118,72.2,146,0.783,0.403,15.34,,,,,,,,,,,UNC Greensboro,128,21-10
Mississippi State,20.21,75.4,68.3,12.4,0.327,0.671,8.1,11,0,1,0,33,69.2,33,0.573,0.089,24.21,,,,,,,,,,,Michigan,129,22-Aug
UCSB,15.75,75.4,72.6,12.4,0.357,0.729,4.7,7.4,0,0,0,284,68.5,192,0.524,0.531,15.75,,,,,,,,,,,Notre Dame,130,18-Dec
Princeton,25.82,75.4,63.7,7.5,0.351,0.807,5.5,7,0,0,0,194,64.9,51,0.273,0.139,25.82,,,,,,,,,,,Colgate,131,22-9
