Team,Rating,PPG,OPPG,TO/Game,3 Pt. %,FT %,Steals/Game,OREB/Game,O Kill Shot?,D Kill Shot?,D Kill Shot (BAD),SOS,Pace of Play,NET Ranking,Normalized Pace,Normalized NET,New Rating,,"Top ""Kill-Shots"" (Account for its interaction with opponent)",,Kill Shots Allowed (Least),,Kill Shots Allowed (Most),,,,,,,
Tennessee Tech,12.48,68.2,73.6,11.4,0.333,0.715,5.2,5.2,0,0,0,313,67.2,335,0.434,0.928,12.48,,,,,,,,,,,Lafayette,311,20-Nov
Charleston Southern,12.02,68.1,74.2,11.8,0.334,0.746,3.8,8.7,0,0,0,148,67.5,,0.455,-0.003,12.02,,,,,,,,,,,Alabama St.,312,17-Dec
Florida A&M,9.29,68.1,78.5,14.3,0.352,0.704,5.7,8.7,0,0,0,123,69.7,341,0.608,0.944,9.29,,,,,,,,,,,Wagner,313,13-15
Cal Baptist,15.08,68.1,66.5,10.8,0.327,0.672,4,10.1,0,0,0,301,,,-4.266,-0.003,15.08,,,,,,,,,,,NAU,314,14-18
New Mexico State,13.34,67.7,72.2,12.1,0.327,0.688,6.5,8.1,0,0,0,139,67.9,,0.483,-0.003,13.34,,,,,,,,,,,Navy,315,13-17
North Texas,21.74,67.7,61.8,10.7,0.368,0.732,7.1,9.9,0,0,0,100,62.1,87,0.077,0.239,21.74,,,,,,,,,,,Charleston So.,316,19-Oct
N.J.I.T.,#N/A,67.7,#N/A,10.6,0.308,0.707,7.2,10,0,0,0,#N/A,,,-4.266,-0.003,#N/A,,,,,,,,,,,Bellarmine,317,23-Aug
Buffalo,6.97,67.7,79.6,13.8,0.27,0.714,5.9,9.1,0,0,0,221,70.1,344,0.636,0.953,6.97,,,,,,,,,,,Coastal Carolina,318,21-Sep
Valparaiso,13.77,67.6,75.3,10.8,0.329,0.721,6.1,8.8,0,0,0,122,68.5,299,0.524,0.828,13.77,,,,,,,,,,,Idaho,319,20-Nov
Towson,17.76,67.6,63.9,11.1,0.326,0.652,6.3,12.8,0,0,0,182,63.1,156,0.147,0.431,17.76,,,,,,,,,,,South Dakota,320,19-Dec
Southeast Missouri State,#N/A,67.6,73.7,11.7,0.306,0.692,5.7,8.4,0,0,0,#N/A,,,-4.266,-0.003,#N/A,,,,,,,,,,,FDU,321,15-16
Eastern Michigan,12.11,67.5,74.1,11.2,0.314,0.671,5.7,8.9,0,0,0,329,66.3,,0.371,-0.003,12.11,,,,,,,,,,,DePaul,322,27-Mar
Maine,17.07,67.4,66.9,11,0.298,0.724,8.3,6.4,0,0,0,264,67.6,219,0.462,0.606,17.07,,,,,,,,,,,Eastern Mich.,323,13-17
CSUF,15.14,66.9,68.2,12.3,0.33,0.714,6.9,7.8,0,0,0,149,,224,-4.266,0.619,15.14,,,,,,,,,,,Sacramento St.,324,23-Aug
Vanderbilt,13.91,66.8,74.7,9.9,0.285,0.702,6,8.8,0,0,0,30,67.3,221,0.441,0.611,13.91,,,,,,,,,,,Prairie View,325,20-Oct
Illinois State,14.73,66.8,67.7,10.9,0.291,0.712,5.6,9.1,0,0,0,143,65.4,176,0.308,0.486,14.73,,,,,,,,,,,William & Mary,326,22-Sep
Grambling State,#N/A,66.7,#N/A,12.7,0.324,0.702,7.6,9.1,0,0,0,#N/A,66.7,,0.399,-0.003,#N/A,,,,,,,,,,,UTRGV,327,23-Jun
Long Island,#N/A,66.6,#N/A,13.9,0.313,0.677,6.3,7.7,0,0,0,#N/A,71.4,,0.727,-0.003,#N/A,,,,,,,,,,,Arkansas Pine Bluff,328,13-16
Air Force,14.95,66.6,71.6,11.2,0.365,0.673,6.7,6.7,0,0,0,99,63.3,271,0.161,0.750,14.95,,,,,,,,,,,Northwestern St.,329,21-Sep
Navy,17.50,66.6,67.3,9.4,0.297,0.701,7,10.2,0,0,0,360,65.4,315,0.308,0.872,17.50,,,,,,,,,,,Southern Ind.,330,23-Aug
Central Michigan,12.88,66.5,70.4,11.8,0.306,0.668,6.3,8.8,0,0,0,169,66.1,,0.357,-0.003,12.88,,,,,,,,,,,NJIT,331,21-Jul
Manhattan,10.99,66.2,77,12.8,0.31,0.72,7.7,8.4,0,0,0,231,70,340,0.629,0.942,10.99,,,,,,,,,,,Tex. A&M-Commerce,332,19-Nov
Rutgers,18.07,66.1,65.9,11.1,0.291,0.668,7.4,11,0,0,1,18,68.4,90,0.517,0.247,18.07,,,,,,,,,,,Alabama A&M,333,20-Sep
North Carolina A&T,#N/A,66.1,78.4,8.8,0.293,0.714,5.8,7.7,0,0,0,#N/A,68.1,,0.497,-0.003,#N/A,,,,,,,,,,,Dartmouth,334,21-Jun
IUPUI,7.37,65.9,79.8,13.6,0.251,0.732,7.7,8.6,0,0,0,285,68.6,361,0.531,1.000,7.37,,,,,,,,,,,Tennessee Tech,335,21-Oct
UCLA,17.25,65.9,65.1,10.7,0.315,0.73,5.9,9.4,0,0,0,63,65.3,115,0.301,0.317,17.25,,,,,,,,,,,Hampton,336,23-Aug
Middle Tennessee,#N/A,65.7,#N/A,13.8,0.308,0.684,5.5,9.3,0,0,0,273,66.5,,0.385,-0.003,#N/A,,,,,,,,,,,N.C. A&T,337,24-Jul
Sacramento State,10.43,65.7,70.2,14,0.314,0.707,4.9,10.7,0,0,0,267,64.7,,0.259,-0.003,10.43,,,,,,,,,,,Army West Point,338,22-Oct
Lindenwood,#N/A,65.6,#N/A,11.4,0.283,0.73,6.2,7.6,0,0,0,316,68.7,355,0.538,0.983,#N/A,,,,,,,,,,,Morgan St.,339,19-Oct
St. Francis (PA),#N/A,65.5,#N/A,13.4,0.329,0.615,5.9,10.6,0,0,0,347,,,-4.266,-0.003,#N/A,,,,,,,,,,,Manhattan,340,21-Jun
Detroit-Mercy,#N/A,65.4,#N/A,12.4,0.272,0.729,6.9,8,0,0,0,#N/A,,,-4.266,-0.003,#N/A,,,,,,,,,,,Florida A&M,341,22-Jun
Holy Cross,10.46,65.4,74,11,0.346,0.65,4,7.3,0,0,0,355,65.6,350,0.322,0.969,10.46,,,,,,,,,,,Central Ark.,342,23-Sep
Pacific,9.00,65.3,79,11.2,0.32,0.647,6.2,5.6,0,0,0,137,69.1,353,0.566,0.978,9.00,,,,,,,,,,,New Orleans,343,21-Sep
Marist,18.59,65.2,61.7,11.2,0.36,0.688,7.4,6.2,0,0,0,359,65.3,189,0.301,0.522,18.59,,,,,,,,,,,Buffalo,344,26-Apr
Saint Peters,18.05,65.1,63.5,11.3,0.318,0.719,7.7,10.5,0,0,0,323,65.8,184,0.336,0.508,18.05,,,,,,,,,,,UIW,345,22-Aug
Maryland-Eastern Shore,#N/A,65,#N/A,13.1,0.297,0.72,6.9,9.6,0,0,0,#N/A,,,-4.266,-0.003,#N/A,,,,,,,,,,,Cal Poly,346,26-Apr
Boston College,16.09,65,65.6,11.1,0.322,0.708,6.8,8,0,0,0,358,68.6,100,0.531,0.275,16.09,,,,,,,,,,,Loyola Maryland,347,25-Jul
Bucknell,14.46,64.9,68.1,11.7,0.345,0.712,6.2,6.6,0,0,0,298,64.3,292,0.231,0.808,14.46,,,,,,,,,,,LIU,348,21-Jul
DePaul,13.16,64.7,81.6,12.9,0.328,0.73,5.3,5.6,0,0,0,6,68.8,322,0.545,0.892,13.16,,,,,,,,,,,Southeast Mo. St.,349,22-Sep
Wagner,19.53,64.4,63.3,8.9,0.336,0.716,6.3,10.1,0,0,0,354,63.1,313,0.147,0.867,19.53,,,,,,,,,,,Holy Cross,350,22-Oct
Loyola Maryland,9.62,64.3,72.3,13.2,0.333,0.647,5.8,8.4,0,0,0,#N/A,66.1,347,0.357,0.961,#N/A,,,,,,,,,,,Saint Francis (PA),351,21-Aug
Stonehill,,63.7,#N/A,13.4,0.307,0.689,6.6,6.9,0,0,0,243,69.3,357,0.580,0.989,#N/A,,,,,,,,,,,UMES,352,19-Aug
Virginia,22.62,63.4,58.7,7.8,0.365,0.647,7.3,7.5,0,0,0,74,61,49,0.000,0.133,22.62,,,,,,,,,,,Pacific,353,25-Jun
Notre Dame,14.92,63.3,65.6,11.5,0.31,0.735,5.9,8.7,0,0,0,72,64.5,130,0.245,0.358,14.92,,,,,,,,,,,Siena,354,25-Apr
Lafayette,13.76,63.3,67.3,11.1,0.318,0.687,6.4,6.9,0,0,0,335,65.1,311,0.287,0.861,13.76,,,,,,,,,,,Lindenwood,355,22-Sep
Cal Poly,9.18,62.5,73.4,12.8,0.323,0.695,5.8,7.3,0,0,0,331,66.7,346,0.399,0.958,9.18,,,,,,,,,,,VMI,356,27-Apr
Dartmouth,8.61,61.3,70.9,12.1,0.302,0.694,4.3,6.8,0,0,0,145,66,334,0.350,0.925,8.61,,,,,,,,,,,Stonehill,357,27-Apr
Siena,2.71,60.4,75.6,15.5,0.273,0.648,5.2,10.4,0,0,0,292,67.5,354,0.455,0.981,2.71,,,,,,,,,,,Houston Christian,358,22-Jun
Army,12.07,59.8,63.5,11.4,0.322,0.588,5.9,8.2,0,0,0,361,63.2,,0.154,-0.003,12.07,,,,,,,,,,,Detroit Mercy,359,31-Jan
Coppin State,6.22,58,72.6,14.9,0.274,0.726,7.6,8.2,0,0,0,299,67.3,,0.441,-0.003,6.22,,,,,,,,,,,Coppin St.,360,25-Feb
Mississippi Val. State,,54.1,#N/A,15.2,0.271,0.661,6.5,8.4,0,0,0,#N/A,,,-4.266,-0.003,#N/A,,,,,,,,,,,IUPUI,361,26-Jun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mississippi Val.,362,28-Jan
Weights,,0.4,-0.4,-1,30,15,0.8,0.2,10,10,10,40,,,,,,,,,,,,,,,,,,
